Code,State,Series ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Latest year,Index
01,Alabama,ENU0100050510,38332,39270,40103,41079,41398,42359,43380,43906,45070,46565,48001,48001,89%
02,Alaska,ENU0200050510,46304,47150,48199,49587,50622,52625,54026,52334,52316,54409,56414,56414,104%
04,Arizona,ENU0400050510,42149,42860,44091,45235,45523,46541,47492,48089,49751,51477,53536,53536,99%
05,Arkansas,ENU0500050510,35131,35814,36801,37881,38640,39720,40621,41270,42708,43722,45297,45297,84%
06,California,ENU0600050510,50680,52553,54345,56295,56577,58507,61281,62484,65545,68203,71164,71164,131%
08,Colorado,ENU0800050510,46820,47916,49245,50920,51135,53070,54518,54873,57293,59304,62349,62349,115%
09,Connecticut,ENU0900050510,58377,60396,62031,63146,63252,64813,66289,66580,67269,68303,70575,70575,130%
10,Delaware,ENU1000050510,47365,48592,50535,51697,51955,53260,54009,53625,55780,56683,58451,58451,108%
11,District of Columbia,ENU1100050510,70984,73072,74710,76456,76922,79139,81402,82471,85548,88184,90988,90988,168%
12,Florida,ENU1200050510,39856,40562,41377,42447,42901,44057,45562,46347,47778,49475,51188,51188,94%
13,Georgia,ENU1300050510,43177,44311,45580,46980,47509,48841,50234,51393,52884,54195,56030,56030,103%
15,Hawaii,ENU1500050510,38836,39294,39838,40871,41485,42583,44393,45546,47037,48376,50181,50181,93%
16,Idaho,ENU1600050510,33688,34611,35406,35882,36725,37962,38710,39543,41320,42883,44280,44280,82%
17,Illinois,ENU1700050510,48360,49523,50921,52322,52626,54286,56308,56828,58410,60425,62132,62132,115%
18,Indiana,ENU1800050510,38138,39226,40272,41357,41791,42719,44121,44750,46424,47867,49062,49062,91%
19,Iowa,ENU1900050510,36309,37429,38554,39761,40489,41972,43532,44341,45528,47070,48274,48274,89%
20,Kansas,ENU2000050510,38519,39431,40507,41817,42297,43530,44729,44771,45848,47375,48845,48845,90%
21,Kentucky,ENU2100050510,37599,38373,39323,40228,40577,41783,43201,43940,45045,46189,47714,47714,88%
22,Louisiana,ENU2200050510,40491,41470,42458,43518,44334,45792,46297,45884,46811,48427,49652,49652,92%
23,Maine,ENU2300050510,35753,36582,37389,38082,38778,39967,41293,42112,43462,44938,46832,46832,86%
24,Maryland,ENU2400050510,48315,49496,50620,51910,51925,53139,54777,55747,57205,58732,60480,60480,112%
25,Massachusetts,ENU2500050510,56659,58359,60196,61467,62311,64732,67303,68082,70657,73405,76378,76378,141%
26,Michigan,ENU2600050510,42835,43631,45285,46217,46671,48090,49776,50710,52329,53647,54813,54813,101%
27,Minnesota,ENU2700050510,45253,46984,48091,49750,50476,51958,53947,54641,56668,58448,60102,60102,111%
28,Mississippi,ENU2800050510,33047,33537,34217,35264,35890,36501,36902,37281,37933,38994,39910,39910,74%
29,Missouri,ENU2900050510,40182,40852,41723,43128,43445,44700,46003,46562,47821,49590,51134,51134,94%
30,Montana,ENU3000050510,32247,33244,34518,35987,36499,37866,39014,39531,40891,42312,43882,43882,81%
31,Nebraska,ENU3100050510,36069,36686,37567,38660,39357,40642,42352,43094,44395,45854,47517,47517,88%
32,Nevada,ENU3200050510,41124,40899,41657,42410,42943,43536,44532,45986,46984,48928,50295,50295,93%
33,New Hampshire,ENU3300050510,45112,46287,47642,48775,49438,51810,53138,54218,55848,57533,59574,59574,110%
34,New Jersey,ENU3400050510,54543,55736,56885,58089,59017,60171,61992,62428,63705,65353,67042,67042,124%
35,New Mexico,ENU3500050510,37021,37927,38674,39521,39666,40748,41225,41063,42060,43790,45694,45694,84%
36,New York,ENU3600050510,58821,61548,63081,63912,64202,67182,68798,69105,71864,73476,76047,76047,140%
37,North Carolina,ENU3700050510,39365,40874,41933,43040,43767,45028,46519,47265,48986,50848,52508,52508,97%
38,North Dakota,ENU3800050510,35666,38028,42098,46823,48740,52079,51579,49310,50816,53157,55056,55056,102%
39,Ohio,ENU3900050510,40128,41040,42244,43601,44062,45482,46582,47115,48577,49985,51593,51593,95%
40,Oklahoma,ENU4000050510,36934,38011,40157,41863,42734,44089,44504,43809,45171,46774,47908,47908,88%
41,Oregon,ENU4100050510,40002,40984,42421,43678,44385,45910,47785,48872,50485,52077,54002,54002,100%
42,Pennsylvania,ENU4200050510,44395,45325,46662,48147,48794,50306,51853,52105,53673,55294,57229,57229,106%
44,Rhode Island,ENU4400050510,41315,42525,43532,44633,45773,47457,48740,49570,50927,51709,52928,52928,98%
45,South Carolina,ENU4500050510,35779,36785,37734,38663,39120,40165,41335,42231,43565,44044,45713,45713,84%
46,South Dakota,ENU4600050510,32847,33887,35086,36306,37085,38628,40157,41132,42354,43705,45350,45350,84%
47,Tennessee,ENU4700050510,40282,41760,42622,44261,44285,45330,46968,47633,49012,50682,51947,51947,96%
48,Texas,ENU4800050510,46207,47610,49534,51593,52137,54217,55191,55085,56583,58622,60759,60759,112%
49,Utah,ENU4900050510,37975,38936,39937,41163,41718,42996,44360,45289,46637,48572,50951,50951,94%
50,Vermont,ENU5000050510,37963,38636,39502,40206,41228,42165,43349,44128,45207,46629,48414,48414,89%
51,Virginia,ENU5100050510,47662,49138,50261,51381,51665,52563,53844,54287,55984,57846,59949,59949,111%
53,Washington,ENU5300050510,46794,47861,49827,51765,52880,54897,56539,59056,62214,66588,70114,70114,129%
54,West Virginia,ENU5400050510,36033,36991,38565,39258,39514,40496,40932,40770,42809,45774,46002,46002,85%
55,Wisconsin,ENU5500050510,38626,39556,40627,41760,42572,43646,45230,45953,47212,48953,50525,50525,93%
56,Wyoming,ENU5600050510,39786,41258,42911,44310,44692,46411,45788,43814,45295,47418,49509,49509,91%
72,Puerto Rico,ENU7200050510,24516,24813,25036,25195,25284,25593,26149,26079,26254,27596,27247,27247,50%
78,Virgin Islands,ENU7800050510,34350,35435,35180,36300,33690,34036,33942,34449,36720,44131,50481,50481,93%