State,State Tax Rate,Rank,Avg. Local Tax Rate,Combined S&L Rate,Rank,Max Local Tax Rate,State to use
Alabama,4.00%,40,5.22%,9.22%,4,7.50%,Alabama
Alaska,0.00%,46,1.76%,1.76%,46,7.50%,Alaska
Arizona,5.60%,28,2.80%,8.40%,11,5.60%,Arizona
Arkansas,6.50%,9,2.97%,9.47%,3,5.13%,Arkansas
California (b),7.25%,1,1.41%,8.66%,9,2.50%,California
Colorado,2.90%,45,4.75%,7.65%,16,8.30%,Colorado
Connecticut,6.35%,12,0.00%,6.35%,33,0.00%,Connecticut
D.C.,6.00%,-17,0.00%,6.00%,-38,0.00%,D.C.
Delaware,0.00%,46,0.00%,0.00%,47,0.00%,Delaware
Florida,6.00%,17,1.05%,7.05%,23,2.50%,Florida
Georgia,4.00%,40,3.31%,7.31%,19,5.00%,Georgia
Hawaii (c),4.00%,40,0.44%,4.44%,45,0.50%,Hawaii
Idaho,6.00%,17,0.03%,6.03%,37,3.00%,Idaho
Illinois,6.25%,13,2.83%,9.08%,6,10.00%,Illinois
Indiana,7.00%,2,0.00%,7.00%,24,0.00%,Indiana
Iowa,6.00%,17,0.94%,6.94%,27,1.00%,Iowa
Kansas,6.50%,9,2.18%,8.68%,8,4.00%,Kansas
Kentucky,6.00%,17,0.00%,6.00%,38,0.00%,Kentucky
Louisiana,4.45%,38,5.07%,9.52%,2,7.00%,Louisiana
Maine,5.50%,29,0.00%,5.50%,42,0.00%,Maine
Massachusetts,6.25%,13,0.00%,6.25%,35,0.00%,Massachusetts
Maryland,6.00%,17,0.00%,6.00%,38,0.00%,Maryland
Michigan,6.00%,17,0.00%,6.00%,38,0.00%,Michigan
Minnesota,6.88%,6,0.58%,7.46%,18,2.00%,Minnesota
Mississippi,7.00%,2,0.07%,7.07%,22,1.00%,Mississippi
Missouri,4.23%,39,3.96%,8.18%,14,5.63%,Missouri
Montana (d),0.00%,46,0.00%,0.00%,47,0.00%,Montana
North Carolina,4.75%,35,2.22%,6.97%,26,2.75%,North Carolina
North Dakota,5.00%,33,1.86%,6.86%,29,3.50%,North Dakota
New Hampshire,0.00%,46,0.00%,0.00%,47,0.00%,New Hampshire
New Jersey (e),6.63%,8,-0.03%,6.60%,30,3.31%,New Jersey
New Mexico (c),5.13%,32,2.69%,7.82%,15,4.13%,New Mexico
New York,4.00%,40,4.52%,8.52%,10,4.88%,New York
Nebraska,5.50%,29,1.43%,6.93%,28,2.50%,Nebraska
Nevada,6.85%,7,1.47%,8.32%,12,1.65%,Nevada
Ohio,5.75%,27,1.42%,7.17%,21,2.25%,Ohio
Oklahoma,4.50%,36,4.44%,8.94%,7,7.00%,Oklahoma
Oregon,0.00%,46,0.00%,0.00%,47,0.00%,Oregon
Pennsylvania,6.00%,17,0.34%,6.34%,34,2.00%,Pennsylvania
Rhode Island,7.00%,2,0.00%,7.00%,24,0.00%,Rhode Island
South Carolina,6.00%,17,1.46%,7.46%,17,3.00%,South Carolina
South Dakota (c),4.50%,36,1.90%,6.40%,32,4.50%,South Dakota
Tennessee,7.00%,2,2.53%,9.53%,1,2.75%,Tennessee
Texas,6.25%,13,1.94%,8.19%,13,2.00%,Texas
Utah (b),6.10%,16,1.08%,7.18%,20,2.95%,Utah
Virginia (b),5.30%,31,0.35%,5.65%,41,0.70%,Virginia
Vermont,6.00%,17,0.22%,6.22%,36,1.00%,Vermont
West Virginia,6.00%,17,0.41%,6.41%,31,1.00%,West Virginia
Washington,6.50%,9,2.71%,9.21%,5,4.00%,Washington
Wisconsin,5.00%,33,0.46%,5.46%,43,1.75%,Wisconsin
Wyoming,4.00%,40,1.34%,5.34%,44,2.00%,Wyoming
,,,,,,,
,,,,,,,